circuit_promoter,circuit_rbs,circuit_coding_sequence,circuit_terminator,circuit_architecture,circuit_copy_number,promoter_strength,promoter_type,promoter_leakiness,promoter_noise_sensitivity,promoter_copy_number_effect,rbs_efficiency,rbs_strength_class,rbs_temperature_sensitivity,reporter_signal_strength,reporter_gene_type,reporter_pH_sensitivity,reporter_maturation_time,terminator_efficiency,terminator_stability,terminator_type,env_pH_variation,env_temperature_variation,env_immune_signal_level,env_metabolic_flux_noise,env_ionic_strength,env_oxidative_stress,env_pH_actual,env_temperature_actual,env_total_stress,perf_signal_strength,perf_noise_level,perf_snr,perf_false_positive_rate,perf_sensitivity,perf_response_time,perf_steady_state_protein,perf_background_noise,sim_duration,sim_method,sim_random_seed,sim_transcription_rate,sim_translation_rate,sim_protein_degradation_rate,sim_mRNA_degradation_rate,robustness_score,performance_class,noise_tolerance
pTet,RBS2,RFP,T3,simple,high_copy_plasmid,0.7,inducible,0.03,0.25,1.0,0.7,medium,0.2,0.9,fluorescent_protein,0.2,60,0.98,0.95,very_strong,0.882026172983832,1.2004716251016698,0.22363467098043502,0.11510383983372796,0.12661185298577785,0.09894933804674935,7.882026172983832,38.20047162510167,0.2610621728901149,2408.4635855516494,20.524918245270865,117.34339483211254,0.5,-2281.3994101178737,69.6969696969697,2408.6135855516495,0.15,300.0,numerical_ode,0,2.5004124207527614,0.6794056954023875,0.013291570177142054,0.051200471625101676,-133853.57587560514,high,low
pTet,RBS2,RFP,T3,simple,high_copy_plasmid,0.7,inducible,0.03,0.25,1.0,0.7,medium,0.2,0.9,fluorescent_protein,0.2,60,0.98,0.95,very_strong,0.24365180454948623,-0.5505807722850677,0.08509238033416218,0.032600362237094706,-0.03051042409401062,0.05229184807055244,7.243651804549486,36.449419227714934,0.0832008160856355,3731.038671117401,47.669709838455944,78.26854167481234,0.5,-12649.24297233457,78.78787878787878,3731.188671117401,0.15,300.0,numerical_ode,1,3.182602797026351,0.6893274540455215,0.01117492572544742,0.04944941922771493,-495018.9003674977,high,low
pTet,RBS2,RFP,T3,simple,high_copy_plasmid,0.7,inducible,0.03,0.25,1.0,0.7,medium,0.2,0.9,fluorescent_protein,0.2,60,0.98,0.95,very_strong,-0.06251367711082059,-0.05064014450369652,0.00483124310561056,0.013738277532237173,-0.04503020621257563,0.07514262358462735,6.937486322889179,36.949359855496304,0.03438667366604017,3976.405183954838,52.04576227195812,76.40209328046092,0.5,-15047.18883553923,78.78787878787878,3976.555183954838,0.15,300.0,numerical_ode,2,3.4013543324769353,0.6867109121314016,0.011026191786491018,0.049949359855496304,-574818.3625107892,high,low
pTet,RBS2,RFP,T3,simple,high_copy_plasmid,0.7,inducible,0.03,0.25,1.0,0.7,medium,0.2,0.9,fluorescent_protein,0.2,60,0.98,0.95,very_strong,0.5365885420290956,0.7857177309215809,0.3091949793594266,0.016104065123986835,-0.02760252723976102,0.1549911323982932,7.5365885420290954,37.78571773092158,0.1871755032071202,2958.535738229059,32.938580275775806,89.81977102409816,0.5,-6107.814857710703,75.75757575757575,2958.685738229059,0.15,300.0,numerical_ode,3,2.8007677412794094,0.6707617876803209,0.01187199262646267,0.05078571773092158,-274301.26598858,high,low
pTet,RBS2,RFP,T3,simple,high_copy_plasmid,0.7,inducible,0.03,0.25,1.0,0.7,medium,0.2,0.9,fluorescent_protein,0.2,60,0.98,0.95,very_strong,0.015168512142881865,0.8999123998280921,0.05844278790776679,0.03499997794331016,0.08709753638870318,0.07682727323795661,7.015168512142882,37.89991239982809,0.06042122126723797,3676.2755708451978,44.052517775896405,83.45211026409694,0.5,-11266.779530276983,78.78787878787878,3676.425570845198,0.15,300.0,numerical_ode,4,3.3213268955967417,0.6840838689349212,0.011468272291245769,0.05089991239982809,-470118.26384097256,high,low
pTet,RBS2,RFP,T3,simple,high_copy_plasmid,0.7,inducible,0.03,0.25,1.0,0.7,medium,0.2,0.9,fluorescent_protein,0.2,60,0.98,0.95,very_strong,0.13236824606551242,-0.5955662734093576,0.3805882236006082,0.04225375750658284,-0.024185598710046496,0.2501230626675426,7.1323682460655125,36.40443372659064,0.14817925264853807,2829.058573175888,24.396820893425318,115.9601320817291,0.5,-3665.6504617520377,72.72727272727272,2829.208573175888,0.15,300.0,numerical_ode,5,2.952936919803793,0.6546651538698625,0.013346305776807083,0.049404433726590646,-212534.65585510878,high,low
pTet,RBS2,RFP,T3,simple,high_copy_plasmid,0.7,inducible,0.03,0.25,1.0,0.7,medium,0.2,0.9,fluorescent_protein,0.2,60,0.98,0.95,very_strong,-0.04676755102312749,0.6561035312512536,0.11914040688031009,0.02451490401924011,-0.030747246913192815,0.0756372587198131,6.953232448976872,37.656103531251254,0.060402953446801494,3722.601009344811,46.46678853248758,80.11315451125115,0.5,-12217.617341874182,78.78787878787878,3722.751009344811,0.15,300.0,numerical_ode,6,3.290192704293219,0.6849611279473073,0.011246670667582932,0.05065610353125126,-489395.93293445394,high,low
pTet,RBS2,RFP,T3,simple,high_copy_plasmid,0.7,inducible,0.03,0.25,1.0,0.7,medium,0.2,0.9,fluorescent_protein,0.2,60,0.98,0.95,very_strong,0.845262851900178,-1.3978121116224984,0.23375042667591547,0.06251492890105413,0.2025771524137035,0.21547208573831175,7.845262851900178,35.6021878883775,0.28322644279856873,2468.190012979025,21.034053868932315,117.3425735409277,0.5,-2451.0727405774182,72.72727272727272,2468.3400129790252,0.15,300.0,numerical_ode,7,2.52991573159056,0.6585893437270656,0.013405019435404201,0.0486021878883775,-143807.59165768445,high,low
pTet,RBS2,RFP,T3,simple,high_copy_plasmid,0.7,inducible,0.03,0.25,1.0,0.7,medium,0.2,0.9,fluorescent_protein,0.2,60,0.98,0.95,very_strong,0.045602358309909885,3.2738481998163316,0.08292485845217826,0.16209647652180262,0.15744339238887495,0.29552065216818807,7.04560235830991,40.27384819981633,0.17849542630376447,2233.0583215684333,10.968207943809634,203.5937258856177,0.5,-194.58583253394923,63.63636363636363,2233.2083215684333,0.15,300.0,numerical_ode,8,3.062946247469764,0.6397943537396579,0.016197136052117932,0.053273848199816336,-19808.227325070784,high,low
pTet,RBS2,RFP,T3,simple,high_copy_plasmid,0.7,inducible,0.03,0.25,1.0,0.7,medium,0.2,0.9,fluorescent_protein,0.2,60,0.98,0.95,very_strong,0.0005542773561054866,-0.8686322077505965,0.11472238690812266,0.10843167501362408,-0.02854529888452372,0.13189170220422372,7.000554277356105,36.13136779224941,0.07850142685694322,3160.853107034044,26.5355036959823,119.11788610640258,0.5,-4703.9668410436725,72.72727272727272,3161.003107034044,0.15,300.0,numerical_ode,9,3.2141482384279674,0.6745669776988878,0.013487550522314718,0.04913136779224941,-280163.29320986726,high,low
