circuit_promoter,circuit_rbs,circuit_coding_sequence,circuit_terminator,circuit_architecture,circuit_copy_number,detection_accuracy,perf_snr,perf_sensitivity,perf_specificity,perf_response_time,env_total_stress
pBAD,RBS1,BFP,T2,with_repressor,medium_copy_plasmid,0.3333333333333333,172.10150736255227,0.3333333333333333,0.0,79.71721721721723,0.1963017494163201
pBAD,RBS1,CFP,T2,simple,very_low_copy,0.3333333333333333,243.83179140372644,0.3333333333333333,0.0,79.61711711711712,0.18885112201566923
pBAD,RBS1,CFP,T4,cascade,high_copy_plasmid,0.3333333333333333,158.1584781425793,0.3333333333333333,0.0,80.15515515515516,0.17035902154550778
pBAD,RBS1,CFP,T4,with_activator,very_high_copy,0.3333333333333333,227.07095900811044,0.3333333333333333,0.0,78.99149149149149,0.19690529976187798
pBAD,RBS1,CFP,T6,OR_gate,medium_copy_plasmid,0.3333333333333333,238.51560619106397,0.3333333333333333,0.0,80.28028028028028,0.171282060075204
pBAD,RBS1,GFP,T1,toggle_switch,high_copy_plasmid,0.3333333333333333,216.52421977395556,0.3333333333333333,0.0,79.24174174174175,0.18191205820306122
pBAD,RBS2,Venus,T5,feedforward,genomic_integration,0.3333333333333333,200.7644046817783,0.3333333333333333,0.0,79.2042042042042,0.20451345001546417
pBAD,RBS2,mCherry,T1,with_activator,low_copy_plasmid,0.3333333333333333,187.63653693387616,0.3333333333333333,0.0,79.79229229229229,0.17809414784345298
pBAD,RBS3,BFP,T2,AND_gate,low_copy_plasmid,0.3333333333333333,181.74869915927334,0.3333333333333333,0.0,79.74224224224224,0.19152581124017162
pBAD,RBS3,CFP,T1,AND_gate,very_high_copy,0.3333333333333333,168.51365631430033,0.3333333333333333,0.0,80.73073073073074,0.1613838081407993
pBAD,RBS3,RFP,T5,OR_gate,very_low_copy,0.3333333333333333,187.1564274940845,0.3333333333333333,0.0,79.07907907907908,0.1871657904839442
pBAD,RBS3,YFP,T2,AND_gate,very_low_copy,0.3333333333333333,172.50884765614387,0.3333333333333333,0.0,80.44294294294295,0.17026337537738598
pBAD,RBS3,YFP,T2,OR_gate,low_copy_plasmid,0.3333333333333333,208.3505287085212,0.3333333333333333,0.0,79.97997997997999,0.1926095952975352
pBAD,RBS4,CFP,T6,AND_gate,high_copy_plasmid,0.3333333333333333,180.0790638147894,0.3333333333333333,0.0,80.16766766766767,0.17589725272368506
pBAD,RBS4,Venus,T6,autoregulation,high_copy_plasmid,0.3333333333333333,184.29052877392442,0.3333333333333333,0.0,80.11761761761763,0.18067197109629793
pBAD,RBS4,mCherry,T4,feedforward,very_low_copy,0.3333333333333333,147.12421887915087,0.3333333333333333,0.0,80.41791791791792,0.17440199372466814
pBAD,RBS4,mCherry,T4,with_activator,low_copy_plasmid,0.3333333333333333,205.0497183350018,0.3333333333333333,0.0,79.90490490490491,0.1804167992040443
pBAD,RBS5,CFP,T6,OR_gate,chromosomal_multi_copy,0.3333333333333333,164.7571229722521,0.3333333333333333,0.0,80.19269269269269,0.17246027049715387
pBAD,RBS5,LacZ,T1,feedforward,chromosomal_multi_copy,0.3333333333333333,198.3453093434482,0.3333333333333333,0.0,79.24174174174175,0.19168655676783905
pBAD,RBS5,LacZ,T1,simple,low_copy_plasmid,0.3333333333333333,267.25235327388634,0.3333333333333333,0.0,79.07907907907908,0.20718691943643094
pBAD,RBS5,YFP,T6,autoregulation,very_low_copy,0.3333333333333333,196.74226122273933,0.3333333333333333,0.0,80.13013013013013,0.17882589403690552
pBAD,RBS5,mCherry,T6,simple,chromosomal_multi_copy,0.3333333333333333,223.48532803162868,0.3333333333333333,0.0,80.20520520520522,0.17984457873472356
pBAD,RBS6,CFP,T3,toggle_switch,high_copy_plasmid,0.3333333333333333,228.56474285274385,0.3333333333333333,0.0,79.82982982982983,0.18888367169544198
pBAD,RBS6,GFP,T5,NAND_gate,genomic_integration,0.3333333333333333,205.00721428162697,0.3333333333333333,0.0,78.59109109109109,0.22001381268405606
pBAD,RBS6,LacZ,T1,OR_gate,genomic_integration,0.3333333333333333,221.74735628193787,0.3333333333333333,0.0,79.0915915915916,0.20120144096209547
